x            y_obs        weight       y_calc       y_bkg        
7.88         94.0         0.01064      91.902       91.902       
7.9          84.0         0.0119       91.681       91.681       
7.92         106.0        0.00943      91.46        91.46        
7.94         84.0         0.0119       91.24        91.24        
7.96         92.0         0.01087      91.021       91.021       
7.98         94.0         0.01064      90.802       90.802       
8.0          98.0         0.0102       90.584       90.584       
8.02         98.0         0.0102       90.367       90.367       
8.04         102.0        0.0098       90.15        90.15        
8.06         77.0         0.01299      89.933       89.933       
8.08         81.0         0.01235      89.718       89.718       
8.1          100.0        0.01         89.502       89.502       
8.12         82.0         0.0122       89.288       89.288       
8.14         86.0         0.01163      89.074       89.074       
8.16         88.0         0.01136      88.86        88.86        
8.18         92.0         0.01087      88.647       88.647       
8.2          100.0        0.01         88.435       88.435       
8.22         84.0         0.0119       88.223       88.223       
8.24         102.0        0.0098       88.012       88.012       
8.26         92.0         0.01087      87.801       87.801       
8.28         77.0         0.01299      87.591       87.591       
8.3          92.0         0.01087      87.381       87.381       
8.32         92.0         0.01087      87.172       87.172       
8.34         82.0         0.0122       86.964       86.964       
8.36         77.0         0.01299      86.756       86.756       
8.38         70.0         0.01429      86.548       86.548       
8.4          90.0         0.01111      86.342       86.342       
8.42         75.0         0.01333      86.135       86.135       
8.44         79.0         0.01266      85.93        85.93        
8.46         98.0         0.0102       85.725       85.725       
8.48         72.0         0.01389      85.52        85.52        
8.5          82.0         0.0122       85.316       85.316       
8.52         77.0         0.01299      85.112       85.112       
8.54         88.0         0.01136      84.91        84.91        
8.56         72.0         0.01389      84.707       84.707       
8.58         70.0         0.01429      84.505       84.505       
8.6          73.0         0.0137       84.304       84.304       
8.62         88.0         0.01136      84.103       84.103       
8.64         75.0         0.01333      83.903       83.903       
8.66         92.0         0.01087      83.703       83.703       
8.68         90.0         0.01111      83.504       83.504       
8.7          75.0         0.01333      83.306       83.306       
8.72         90.0         0.01111      83.107       83.107       
8.74         79.0         0.01266      82.91        82.91        
8.76         72.0         0.01389      82.713       82.713       
8.78         86.0         0.01163      82.516       82.516       
8.8          84.0         0.0119       82.32        82.32        
8.82         70.0         0.01429      82.125       82.125       
8.84         79.0         0.01266      81.93        81.93        
8.86         82.0         0.0122       81.736       81.736       
8.88         90.0         0.01111      81.542       81.542       
8.9          60.0         0.01667      81.349       81.349       
8.92         77.0         0.01299      81.156       81.156       
8.94         75.0         0.01333      80.964       80.964       
8.96         67.0         0.01493      80.772       80.772       
8.98         72.0         0.01389      80.581       80.581       
9.0          79.0         0.01266      80.39        80.39        
9.02         79.0         0.01266      80.2         80.2         
9.04         72.0         0.01389      80.01        80.01        
9.06         84.0         0.0119       79.821       79.821       
9.08         77.0         0.01299      79.632       79.632       
9.1          77.0         0.01299      79.444       79.444       
9.12         79.0         0.01266      79.257       79.257       
9.14         86.0         0.01163      79.07        79.07        
9.16         72.0         0.01389      78.883       78.883       
9.18         70.0         0.01429      78.697       78.697       
9.2          75.0         0.01333      78.511       78.511       
9.22         77.0         0.01299      78.326       78.326       
9.24         90.0         0.01111      78.142       78.142       
9.26         81.0         0.01235      77.958       77.958       
9.28         88.0         0.01136      77.774       77.774       
9.3          79.0         0.01266      77.591       77.591       
9.32         65.0         0.01538      77.409       77.409       
9.34         72.0         0.01389      77.227       77.227       
9.36         62.0         0.01613      77.045       77.045       
9.38         70.0         0.01429      76.864       76.864       
9.4          68.0         0.01471      76.684       76.684       
9.42         82.0         0.0122       76.504       76.504       
9.44         70.0         0.01429      76.324       76.324       
9.46         82.0         0.0122       76.145       76.145       
9.48         67.0         0.01493      75.967       75.967       
9.5          70.0         0.01429      75.789       75.789       
9.52         68.0         0.01471      75.611       75.611       
9.54         77.0         0.01299      75.434       75.434       
9.56         77.0         0.01299      75.257       75.257       
9.58         65.0         0.01538      75.081       75.081       
9.6          72.0         0.01389      74.906       74.906       
9.62         68.0         0.01471      74.731       74.731       
9.64         72.0         0.01389      74.556       74.556       
9.66         84.0         0.0119       74.382       74.382       
9.68         82.0         0.0122       74.208       74.208       
9.7          59.0         0.01695      74.035       74.035       
9.72         77.0         0.01299      73.862       73.862       
9.74         72.0         0.01389      73.69        73.69        
9.76         75.0         0.01333      73.518       73.518       
9.78         79.0         0.01266      73.347       73.347       
9.8          73.0         0.0137       73.176       73.176       
9.82         72.0         0.01389      73.006       73.006       
9.84         68.0         0.01471      72.836       72.836       
9.86         75.0         0.01333      72.667       72.667       
9.88         65.0         0.01538      72.498       72.498       
9.9          65.0         0.01538      72.329       72.329       
9.92         51.0         0.01961      72.162       72.162       
9.94         67.0         0.01493      71.994       71.994       
9.96         79.0         0.01266      71.827       71.827       
9.98         64.0         0.01562      71.66        71.66        
10.0         73.0         0.0137       71.494       71.494       
10.02        77.0         0.01299      71.329       71.329       
10.04        77.0         0.01299      71.164       71.164       
10.06        79.0         0.01266      70.999       70.999       
10.08        62.0         0.01613      70.835       70.835       
10.1         67.0         0.01493      70.671       70.671       
10.12        65.0         0.01538      70.508       70.508       
10.14        65.0         0.01538      70.345       70.345       
10.16        59.0         0.01695      70.182       70.182       
10.18        57.0         0.01754      70.021       70.021       
10.2         67.0         0.01493      69.859       69.859       
10.22        77.0         0.01299      69.698       69.698       
10.24        57.0         0.01754      69.537       69.537       
10.26        57.0         0.01754      69.377       69.377       
10.28        70.0         0.01429      69.218       69.218       
10.3         67.0         0.01493      69.058       69.058       
10.32        65.0         0.01538      68.9         68.9         
10.34        65.0         0.01538      68.741       68.741       
10.36        62.0         0.01613      68.584       68.584       
10.38        75.0         0.01333      68.426       68.426       
10.4         75.0         0.01333      68.269       68.269       
10.42        70.0         0.01429      68.113       68.113       
10.44        65.0         0.01538      67.957       67.957       
10.46        60.0         0.01667      67.801       67.801       
10.48        47.0         0.02128      67.646       67.646       
10.5         65.0         0.01538      67.491       67.491       
10.52        65.0         0.01538      67.337       67.337       
10.54        72.0         0.01389      67.183       67.183       
10.56        59.0         0.01695      67.029       67.029       
10.58        65.0         0.01538      66.876       66.876       
10.6         73.0         0.0137       66.724       66.724       
10.62        70.0         0.01429      66.572       66.572       
10.64        62.0         0.01613      66.42        66.42        
10.66        50.0         0.02         66.269       66.269       
10.68        65.0         0.01538      66.118       66.118       
10.7         67.0         0.01493      65.967       65.967       
10.72        53.0         0.01887      65.817       65.817       
10.74        54.0         0.01852      65.668       65.668       
10.76        70.0         0.01429      65.519       65.519       
10.78        53.0         0.01887      65.37        65.37        
10.8         67.0         0.01493      65.222       65.222       
10.82        60.0         0.01667      65.074       65.074       
10.84        51.0         0.01961      64.927       64.927       
10.86        59.0         0.01695      64.78        64.78        
10.88        72.0         0.01389      64.633       64.633       
10.9         82.0         0.0122       64.487       64.487       
10.92        60.0         0.01667      64.341       64.341       
10.94        53.0         0.01887      64.196       64.196       
10.96        72.0         0.01389      64.051       64.051       
10.98        70.0         0.01429      63.907       63.907       
11.0         67.0         0.01493      63.762       63.762       
11.02        62.0         0.01613      63.619       63.619       
11.04        56.0         0.01786      63.476       63.476       
11.06        60.0         0.01667      63.333       63.333       
11.08        65.0         0.01538      63.19        63.19        
11.1         51.0         0.01961      63.048       63.048       
11.12        65.0         0.01538      62.907       62.907       
11.14        68.0         0.01471      62.766       62.766       
11.16        62.0         0.01613      62.625       62.625       
11.18        75.0         0.01333      62.485       62.485       
11.2         60.0         0.01667      62.345       62.345       
11.22        53.0         0.01887      62.205       62.205       
11.24        53.0         0.01887      62.066       62.066       
11.26        51.0         0.01961      61.927       61.927       
11.28        59.0         0.01695      61.789       61.789       
11.3         47.0         0.02128      61.651       61.651       
11.32        53.0         0.01887      61.514       61.514       
11.34        70.0         0.01429      61.376       61.376       
11.36        40.0         0.025        61.24        61.24        
11.38        54.0         0.01852      61.103       61.103       
11.4         59.0         0.01695      60.967       60.967       
11.42        57.0         0.01754      60.832       60.832       
11.44        62.0         0.01613      60.697       60.697       
11.46        56.0         0.01786      60.562       60.562       
11.48        50.0         0.02         60.428       60.428       
11.5         50.0         0.02         60.294       60.294       
11.52        56.0         0.01786      60.16        60.16        
11.54        47.0         0.02128      60.027       60.027       
11.56        67.0         0.01493      59.894       59.894       
11.58        81.0         0.01235      59.762       59.762       
11.6         70.0         0.01429      59.63        59.63        
11.62        54.0         0.01852      59.498       59.498       
11.64        64.0         0.01562      59.367       59.367       
11.66        65.0         0.01538      59.236       59.236       
11.68        57.0         0.01754      59.106       59.106       
11.7         56.0         0.01786      58.976       58.976       
11.72        39.0         0.02564      58.846       58.846       
11.74        57.0         0.01754      58.717       58.717       
11.76        57.0         0.01754      58.588       58.588       
11.78        56.0         0.01786      58.459       58.459       
11.8         57.0         0.01754      58.331       58.331       
11.82        62.0         0.01613      58.203       58.203       
11.84        57.0         0.01754      58.076       58.076       
11.86        64.0         0.01562      57.949       57.949       
11.88        62.0         0.01613      57.822       57.822       
11.9         65.0         0.01538      57.696       57.696       
11.92        57.0         0.01754      57.57        57.57        
11.94        49.0         0.02041      57.445       57.445       
11.96        54.0         0.01852      57.319       57.319       
11.98        57.0         0.01754      57.195       57.195       
12.0         57.0         0.01754      57.07        57.07        
12.02        67.0         0.01493      56.946       56.946       
12.04        53.0         0.01887      56.823       56.823       
12.06        56.0         0.01786      56.699       56.699       
12.08        62.0         0.01613      56.576       56.576       
12.1         56.0         0.01786      56.454       56.454       
12.12        56.0         0.01786      56.332       56.332       
12.14        50.0         0.02         56.21        56.21        
12.16        42.0         0.02381      56.088       56.088       
12.18        59.0         0.01695      55.967       55.967       
12.2         56.0         0.01786      55.846       55.846       
12.22        50.0         0.02         55.726       55.726       
12.24        46.0         0.02174      55.606       55.606       
12.26        56.0         0.01786      55.486       55.486       
12.28        46.0         0.02174      55.367       55.367       
12.3         53.0         0.01887      55.248       55.248       
12.32        51.0         0.01961      55.129       55.129       
12.34        56.0         0.01786      55.011       55.011       
12.36        64.0         0.01562      54.893       54.893       
12.38        46.0         0.02174      54.776       54.776       
12.4         51.0         0.01961      54.659       54.659       
12.42        50.0         0.02         54.542       54.542       
12.44        56.0         0.01786      54.425       54.425       
12.46        57.0         0.01754      54.309       54.309       
12.48        57.0         0.01754      54.194       54.194       
12.5         57.0         0.01754      54.078       54.078       
12.52        59.0         0.01695      53.963       53.963       
12.54        51.0         0.01961      53.848       53.848       
12.56        56.0         0.01786      53.734       53.734       
12.58        46.0         0.02174      53.62        53.62        
12.6         49.0         0.02041      53.506       53.506       
12.62        44.0         0.02273      53.393       53.393       
12.64        38.0         0.02632      53.28        53.28        
12.66        51.0         0.01961      53.167       53.167       
12.68        56.0         0.01786      53.055       53.055       
12.7         57.0         0.01754      52.943       52.943       
12.72        53.0         0.01887      52.831       52.831       
12.74        56.0         0.01786      52.72        52.72        
12.76        44.0         0.02273      52.609       52.609       
12.78        59.0         0.01695      52.499       52.499       
12.8         42.0         0.02381      52.388       52.388       
12.82        47.0         0.02128      52.278       52.278       
12.84        50.0         0.02         52.169       52.169       
12.86        33.0         0.0303       52.059       52.059       
12.88        57.0         0.01754      51.951       51.951       
12.9         42.0         0.02381      51.842       51.842       
12.92        49.0         0.02041      51.734       51.734       
12.94        51.0         0.01961      51.626       51.626       
12.96        56.0         0.01786      51.518       51.518       
12.98        43.0         0.02326      51.411       51.411       
13.0         60.0         0.01667      51.304       51.304       
13.02        47.0         0.02128      51.197       51.197       
13.04        47.0         0.02128      51.091       51.091       
13.06        53.0         0.01887      50.985       50.985       
13.08        42.0         0.02381      50.879       50.879       
13.1         43.0         0.02326      50.774       50.774       
13.12        44.0         0.02273      50.669       50.669       
13.14        51.0         0.01961      50.564       50.564       
13.16        38.0         0.02632      50.46        50.46        
13.18        49.0         0.02041      50.356       50.356       
13.2         50.0         0.02         50.252       50.252       
13.22        64.0         0.01562      50.149       50.149       
13.24        51.0         0.01961      50.046       50.046       
13.26        53.0         0.01887      49.943       49.943       
13.28        50.0         0.02         49.841       49.841       
13.3         36.0         0.02778      49.739       49.739       
13.32        44.0         0.02273      49.637       49.637       
13.34        53.0         0.01887      49.535       49.535       
13.36        53.0         0.01887      49.434       49.434       
13.38        39.0         0.02564      49.333       49.333       
13.4         42.0         0.02381      49.233       49.233       
13.42        47.0         0.02128      49.133       49.133       
13.44        53.0         0.01887      49.033       49.033       
13.46        43.0         0.02326      48.933       48.933       
13.48        43.0         0.02326      48.834       48.834       
13.5         47.0         0.02128      48.735       48.735       
13.52        36.0         0.02778      48.636       48.636       
13.54        42.0         0.02381      48.538       48.538       
13.56        46.0         0.02174      48.44        48.44        
13.58        65.0         0.01538      48.342       48.342       
13.6         53.0         0.01887      48.245       48.245       
13.62        36.0         0.02778      48.148       48.148       
13.64        47.0         0.02128      48.051       48.051       
13.66        57.0         0.01754      47.954       47.954       
13.68        39.0         0.02564      47.858       47.858       
13.7         40.0         0.025        47.762       47.762       
13.72        56.0         0.01786      47.667       47.667       
13.74        43.0         0.02326      47.571       47.571       
13.76        56.0         0.01786      47.476       47.476       
13.78        42.0         0.02381      47.382       47.382       
13.8         50.0         0.02         47.287       47.287       
13.82        43.0         0.02326      47.193       47.193       
13.84        43.0         0.02326      47.099       47.099       
13.86        43.0         0.02326      47.006       47.006       
13.88        56.0         0.01786      46.912       46.912       
13.9         44.0         0.02273      46.819       46.819       
13.92        57.0         0.01754      46.727       46.727       
13.94        37.0         0.02703      46.634       46.634       
13.96        42.0         0.02381      46.542       46.542       
13.98        56.0         0.01786      46.451       46.451       
14.0         42.0         0.02381      46.359       46.359       
14.02        49.0         0.02041      46.268       46.268       
14.04        64.0         0.01562      46.177       46.177       
14.06        46.0         0.02174      46.087       46.087       
14.08        42.0         0.02381      45.996       45.996       
14.1         43.0         0.02326      45.906       45.906       
14.12        44.0         0.02273      45.816       45.816       
14.14        56.0         0.01786      45.727       45.727       
14.16        47.0         0.02128      45.638       45.638       
14.18        53.0         0.01887      45.549       45.549       
